Category,City,Country/Region,Customer Name,Date String,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Selected State,Ship Date,Ship Mode,Size,State,State Name,State Set,Sub-Category,Discount,Profit,Quantity,Sales
Furniture,Henderson,United States,Claire Gute,2020-11-01,Bush,2020/11/8,CA-2020-152156,42420,Bush Somerset Collection Bookcase,South,Consumer,伪,2020/11/11,Second Class,伪,Kentucky,Other (median),3,Bookcases,0,41.9136,2,$262
Furniture,Henderson,United States,Claire Gute,2020-11-01,Hon,2020/11/8,CA-2020-152156,42420,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,Consumer,伪,2020/11/11,Second Class,伪,Kentucky,Other (median),3,Chairs,0,219.582,3,$732
Office Supplies,Los Angeles,United States,Darrin Van Huff,2020-06-01,Universal,2020/6/12,CA-2020-138688,90036,Self-Adhesive Address Labels for Typewriters by Universal,West,Corporate,伪,2020/6/16,Second Class,伪,California,Other (median),3,Labels,0,6.8714,2,$15
Furniture,Fort Lauderdale,United States,Sean O'Donnell,2019-10-01,Bretford,2019/10/11,US-2019-108966,33311,Bretford CR4500 Series Slim Rectangular Table,South,Consumer,伪,2019/10/18,Standard Class,伪,Florida,Other (median),3,Tables,0.45,-383.031,5,$958
Office Supplies,Fort Lauderdale,United States,Sean O'Donnell,2019-10-01,Eldon,2019/10/11,US-2019-108966,33311,Eldon Fold 'N Roll Cart System,South,Consumer,伪,2019/10/18,Standard Class,伪,Florida,Other (median),3,Storage,0.2,2.5164,2,$22
Furniture,Los Angeles,United States,Brosina Hoffman,2018-06-01,Eldon,2018/6/9,CA-2018-115812,90032,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,Consumer,伪,2018/6/14,Standard Class,伪,California,Other (median),3,Furnishings,0,14.1694,7,$49
Office Supplies,Los Angeles,United States,Brosina Hoffman,2018-06-01,Newell,2018/6/9,CA-2018-115812,90032,Newell 322,West,Consumer,伪,2018/6/14,Standard Class,伪,California,Other (median),3,Art,0,1.9656,4,$7
Technology,Los Angeles,United States,Brosina Hoffman,2018-06-01,Mitel,2018/6/9,CA-2018-115812,90032,Mitel 5320 IP Phone VoIP phone,West,Consumer,伪,2018/6/14,Standard Class,伪,California,Other (median),3,Phones,0.2,90.7152,6,$907
Office Supplies,Los Angeles,United States,Brosina Hoffman,2018-06-01,DXL,2018/6/9,CA-2018-115812,90032,DXL Angle-View Binders with Locking Rings by Samsill,West,Consumer,伪,2018/6/14,Standard Class,伪,California,Other (median),3,Binders,0.2,5.7825,3,$19
Office Supplies,Los Angeles,United States,Brosina Hoffman,2018-06-01,Belkin,2018/6/9,CA-2018-115812,90032,Belkin F5C206VTEL 6 Outlet Surge,West,Consumer,伪,2018/6/14,Standard Class,伪,California,Other (median),3,Appliances,0,34.47,5,$115
Furniture,Los Angeles,United States,Brosina Hoffman,2018-06-01,Chromcraft,2018/6/9,CA-2018-115812,90032,Chromcraft Rectangular Conference Tables,West,Consumer,伪,2018/6/14,Standard Class,伪,California,Other (median),3,Tables,0.2,85.309200000,9,"$1,706"
Technology,Los Angeles,United States,Brosina Hoffman,2018-06-01,Other,2018/6/9,CA-2018-115812,90032,Konftel 250 Conference phone - Charcoal black,West,Consumer,伪,2018/6/14,Standard Class,伪,California,Other (median),3,Phones,0.2,68.3568,4,$911
Office Supplies,Concord,United States,Andrew Allen,2021-04-01,Xerox,2021/4/15,CA-2021-114412,28027,Xerox 1967,South,Consumer,伪,2021/4/20,Standard Class,伪,North Carolina,Other (median),3,Paper,0.2,5.4432,3,$16
Office Supplies,Seattle,United States,Irene Maddox,2020-12-01,Fellowes,2020/12/5,CA-2020-161389,98103,Fellowes PB200 Plastic Comb Binding Machine,West,Consumer,伪,2020/12/10,Standard Class,伪,Washington,Other (median),3,Binders,0.2,132.5922,3,$408
Office Supplies,Fort Worth,United States,Harold Pawlan,2019-11-01,Holmes,2019/11/22,US-2019-118983,76106,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Home Office,真,2019/11/26,Standard Class,真,Texas,Texas,1,Appliances,0.8,-123.858,5,$69
Office Supplies,Fort Worth,United States,Harold Pawlan,2019-11-01,Storex,2019/11/22,US-2019-118983,76106,Storex DuraTech Recycled Plastic Frosted Binders,Central,Home Office,真,2019/11/26,Standard Class,真,Texas,Texas,1,Binders,0.8,-3.816,3,$3
Office Supplies,Madison,United States,Pete Kriz,2018-11-01,Other,2018/11/11,CA-2018-105893,53711,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,Consumer,伪,2018/11/18,Standard Class,伪,Wisconsin,Wisconsin,2,Storage,0,13.3176,6,$666
Office Supplies,West Jordan,United States,Alejandro Grove,2018-05-01,Fellowes,2018/5/13,CA-2018-167164,84084,Fellowes Super Stor/Drawer,West,Consumer,伪,2018/5/15,Second Class,伪,Utah,Utah,2,Storage,0,9.990000000,2,$56
Office Supplies,San Francisco,United States,Zuschuss Donatelli,2018-08-01,Newell,2018/8/27,CA-2018-143336,94109,Newell 341,West,Consumer,伪,2018/9/1,Second Class,伪,California,Other (median),3,Art,0,2.4824,2,$9
